Product,Quantity
Ardennes Pate,1kg
Beef Brisket Boneless and Flat,
Beef Featherblade Steaks,5 x 7oz (198g)
Beef Minced,
Beef Shin Hand -Diced,
Beef Steak Rib Eye,5 x 10oz (283g)
Beef Steak Sirloin D-End,5 x 4oz (113g)
Beef Steak Sirloin Larder Trimmed,5 x 10oz (283g)
Beef Striploin Special Trim,
Beef Topside Boned and Rolled,2.5-3kg
Black Pudding Stick,each
Chicken Drumsticks,
Chicken Fillet Boneless,200-220G 5kg pack
Chicken Fillet Skin On Boneless,5 x 7-8oz
Chicken Legs,x10
Chicken Supreme French Trimmed  Skin On,5 x 7-8oz (198-227g)
Chicken Supreme Skin On,5 x 6-7oz (170-198g)
Chicken Thigh On the bone  Oyster Cut,x 10
Chicken Whole,1500g
Chicken Wings- Prime and Centre 2 Joint,
Chorizo Stick,1.6 kg
Corn Fed Chicken Supreme French Trimmed Skin On,5 x 7-8oz
Duck Breast Barbury Female (Maigret de Canard),Pack of 2
Duck Legs Male,
Duck and Orange Pate,1kg
Gammon Steak Half Moon,5 x 8oz (227g)
Goat Diced,
Lamb Hand Diced,
Lamb Kofta Kebab,1 Pack x 10 pieces-57 g each
Lamb Leg Boned and Rolled,
Lamb Rack 3 Bone Portion,
Lamb Rump Square Cut,5 x 7-8oz (198-227g)
Lamb Shanks,
Lamb Shoulder Boned and Rolled,
Milano Salami Sliced,500g
Mortadella Sliced,500g
Pancetta Diced,
Pancetta Sliced,500g
Pastrami Sliced,500g
Pepperoni Sliced,1 kg Pack
Pork Belly Boned and Rolled,
Pork Belly Squares,200-230g
Pork Chops Trimmed,5 x 7-8oz (198-227g)
Pork Loin (Baby Back) Ribs,x 10kg Case
Pork Loin Boneless and Rindless,
Premium Steak Burger,24 x 7oz
Sausage Cumberland 8s,2.27KG Pack
Sausage Meat Pork,500g Pack
Sliced Back Bacon Rindless,2.27 kg Pack
Sliced Chorizo,250g Pack
Sliced Honeyroast Ham,500g
Sliced Proscuittio Ham,500g
Sliced Smoked Back Bacon Rindless,2.27 kg pack
Sliced Turkey Breast,500g
Smoked Duck Breast Fillet,
Traditional Beef Burgers,20 x 4oz (113g)
Turkey Escalope,5 x 6oz (170g)
Turkey Escalope,5 x 8oz (227g)
Whole Poussin,14-16oz (397-454g)
Wild Boar and Chorizo Burger,12 x 6oz (170g)
