Product,Quantity
Double Cream,4x2.27 LTR PK
Alpen Fruit and Nut with Chocolate,1 x 24x29 g
Alpen Strawberry with Yoghurt,1 x 24x29 g
Alpro Almond No Sugars Drink,8 x 1 LTR PK
Alpro Blueberry and Cherry Soya Yoghurt,6 x 4x125 G PK
Alpro Soya Barista For Professionals,12 x 1 LTR PK
Americana Brioche Burger Bun 5in,1 x 48 PK
Dark Soy Sauce,12 x 150 ML
Salted Butter Portions,5 x 100 PK
Halloumi,10 x 250 G PK
Applewood Half Wheel Red Tractor,1.5 KG PK
Honey Glazed Roast Parsnips,4 x 2.5 KG PK
Mild White Cheddar Cheese Slices Red Tractor,1 KG
Brandy Snap Baskets,1 x 90 PK
BB - Aubergine Black,1 x EA
BB - Avocado,1 x EA
BB - Butternut Squash,1 x 1 EA
BB - Celeriac,1 x EA
BB - Cherry Tomato On Vine,1 x 500 G
BB - Coriander,1 x 100 G
BB - Cos Lettuce,1 x EA
BB - Courgette Green,1 x 1 KG
BB - Cucumber 35 - 40mm,1 x EA
BB - Fancy Leaf lettuce lollo Rosso,1 x EA
BB - Garlic Prepacked,1 x 450 G
BB - Green Chillies,1 x 250 G
BB - Lime Loose Pack,1 x 12 EA
BB - Micro Leaf Salad Mix,1 x 1 PK
BB - Parsley Flat,1 x 100 G
BB ASPARAGUS Green imported x bunch 250g OK1405s,1 x 250 G PK
BB LEMONS x Pack of 5 OK822s,1 x 5 EA PK
CROISSANT 40G,165 x 40 G Box
PAIN AU CHOCOLATE 28G,260 x 28 G Box
Baby Roast Potatoes,1 x 5 KG
Babybel Mini Cheese 20g,96 PK
Battered Calamari Rings,12 x 500 G PK
Battered Onion Rings,1 KG PK
Beechdean Farmhouse Dairy Chocolate Ice Cream,5 LTR
Beechdean Farmhouse Dairy Vanilla Ice Cream,5 LTR
Big Al's Hereford Burger,48 x 170 G PK
Custard,1 KG
Bisto Gluten Free Vegan Gravy Granules,1 x 1.8 KG PK
Instant Hot Chocolate,10 x 1 KG PK
Medium Roast Coffee Beans,6 x 1 KG PK
Blue Dragon Tofu Box,12 x 349 G PK
