Product,Quantity
Almond No Sugars Drink,8 x 1 LTR PK
Alpen Fruit and Nut with Chocolate,1 x 24x29g
Alpen Strawberry with Yoghurt,1 x 24x29g
Americana Brioche Burger Bun 5in,1 x 48 PK
Apple Juice Cartons,24 x 200 ML PK
Apple Juice Drink,12 x 1 LTR PK
Apple Juice Re-Seal,12 x 1 Ltr pk
Apple and Blueberry Porridge Pot,8 x 57G POT
Applewood Half Wheel Red Tractor,1.5 KG PK
Apricot Jam,2.72 KG
Asparagus Green,250G PK
Assam Tea Bags,4 x 20x2G PK
Aubergine Black,1 x EA
Authentic Dijon Mustard,2 x 2.27 LTR TUB
Avocado,1 x EA
BBQ Sauce,2 x 2.27 LTR PK
Baby Roast Potatoes,1 x 5 KG
Babybel Mini Cheese 20g,96 PK
Bagels Plain Sliced,48 x 115 G PK
Baked Beans,6 x 3.12 KG
Baked Yorkshire Puddings (3in),3 x 20 PK
Bakewell Slice,90 x 50 G EA
Balsamic Vinegar Glaze,500 ML PK
Balsamic Vinegar of Modena,6 x 500 ML BOT
Banana Chips,1 KG
Basmati Rice,1 x 5 KG PK
Battered Calamari Rings,12 x 500 G PK
Battered Onion Rings,1 KG PK
Beef Madras,12 x 350 G PK
Beef Paste Bouillon,2 x 1 KG
Beef Paste Bouillon,2 x 1 KG
Belgian Chocolate Fondant 117g,1 x 12 PK
Biscuits For Cheese,1 KG
Blackcurrant Cordial,12 x 1 LTR PK
Blackcurrant Jam,72 x 28 G
Blood Orange flavoured Sorbet Ice Cream,2.4 LTR PK
Blue Cheese Dressing,2 x 2.27 LTR PK
Blue Dragon Tofu Box,12 x 349 G PK
Blue Stilton Wedges Red Tractor,220 g pk
Blueberry and Cherry Soya Yoghurt,6 x 4x125 G PK
Boiron Frozen Whole Strawberries IQF,1 KG PK
Boka Apple and Cinnamon Bar,24 x 30 G PK
Boka Chocomallow Cereal Bar,24 x 30 G PK
Boka Strawberry Bar,24 x 30 G PK
Bran flakes Cereal,4 x 500 G Box
Brandy Sauce,1 ltr
Brandy Snap Baskets,1 x 90 PK
Branston Pickle,2 x 2.55 KG
Breaded Chicken Fillets 120g,4 x 960 G PK
Breaded Cod Fillet Fish Fingers,60x25G PK
Breaded Mini Chicken Goujons 45g,1 KG PK
Brie and Beetroot Chutney Tart in Kale Pastry,12 x 150 g pk
Brie,1 KG PK
British Steak and Ale Pie,12 x 300 G PK
Bronte Traditional Minipacks,1 x 100 PK
Brown Sauce,2 x 2.27 LTR PK
Brown Skin Onion Yellow Flesh Cooking 60-80mm,1 x 1 KG
Brown sugar sticks,1 x 1000 EA Box
Burger Relish,2 x 2.15 LTR PK
Butter (Unsalted),20 x 250 G PK
Butter Croissant,80 x 55 g pk
Butternut Squash,1 x 1 EA
Cadbury Bourneville Cocoa Powder,1 x 1.5 KG
Caesar Dressing,2 x 2.27 LTR PK
Cambodian Street Food Veg Curry,1 x 24X300G EA PK
Canderel Sweetener Sticks,1 x 1000 PK
Carrot and Coriander Soup,12 x 250 ML
Cauliflower and Red Pepper Curry,12 x 340 G PK
Celeriac,1 x EA
Cherry Tomato On Vine,1 x 500 G
Chick Peas in Water,6 x 800 G PK
