Product,Quantity
Ascot Brownie Slice,1x88
Bread and Butter Pudding,4.2Kg
Choc Delice Rhum Et Pistache,30Ptn
Classic French Fancies Assorted,1x25
Gluten Free Sticky Toffe Pudding,32ptn
Honeycomb Pieces,3kg
Ind Black Forest Cheesecake,1x16
Individual Assorted Cupcakes,1x20
Individual Cheesecake Strawberry,1x16
Individual Pie Chicken Ham Hock et Leek,1x24
Individual Profiterole Fresh Cream and Choc,1X4
Large Carrot Cake,1x80
Large Chocolate Opera,1X80
Large Pie Pecan Precut,14Ptn
Large Tart Lemon and Lime,114Ptn
Lemon Tartlet,24x90g
Mini Cheesecake Blueberry,1X35
Mini Choc Truffle Torte,1X35
Mini Dessert Slices,1x100
Mini Irish Cream Torte,1X35
Mini Mango and Passion Fruit Torte,1X35
Mini Pie Butternut Squash et Spinach
Mini Pie Steak et Ale,1X24
Mini Red Velvet Cake,1x25
Mini Salted Caramel Cheesecake,1X35
Mini Torte Raspberry,1X35
NCGI Teatime Box,1x96
Pic Pop Caramel,1X48
Teatime Banoffee Tart
Teatime Lemon Meringue Tart,1X24
Vegan Afternoon Tea Box,1x32
